Nombre Rol	Módulo
ACLARACIONES BANCARIAS	Aclaraciones por Ajuste
ADMINISTRADOR	Aclaraciones por Ajuste
OPERACIONES BANCARIAS	Aclaraciones por Ajuste
PRUEBAS SKY	Aclaraciones por Ajuste
ADMINISTRADOR	Administración de Modulos
ACLARACIONES BANCARIAS	Ajustes 2
ADMINISTRADOR	Ajustes 2
ACLARACIONES BANCARIAS	Ajustes a Cuenta
ADMINISTRADOR	Ajustes a Cuenta
OPERACIONES BANCARIAS	Ajustes a Cuenta
PRUEBAS SKY	Ajustes a Cuenta
ACLARACIONES BANCARIAS	Ajustes a Evento
ADMINISTRADOR	Ajustes a Evento
OPERACIONES BANCARIAS	Ajustes a Evento
PRUEBAS SKY	Ajustes a Evento
ACLARACIONES BANCARIAS	Ajustes masivos a Evento
ADMINISTRADOR	Ajustes masivos a Evento
OPERACIONES BANCARIAS	Ajustes masivos a Evento
PRUEBAS SKY	Ajustes masivos a Evento
ACLARACIONES BANCARIAS	Ajustes por Facturar
ADMINISTRADOR	Ajustes por Facturar
OPERACIONES BANCARIAS	Ajustes por Facturar
PRUEBAS SKY	Ajustes por Facturar
ACLARACIONES BANCARIAS	Bandera Recibe Pagos
ADMINISTRADOR	Bandera Recibe Pagos
OPERACIONES BANCARIAS	Bandera Recibe Pagos
OPERACIONES BANCARIAS 2	Bandera Recibe Pagos
PRUEBAS SKY	Bandera Recibe Pagos
SOPORTE BACKFLOW	Bandera Recibe Pagos
ACLARACIONES BANCARIAS	Bill Now
ADMINISTRADOR	Bill Now
OPERACIONES BANCARIAS	Bill Now
PRUEBAS SKY	Bill Now
ADMIN_USUARIOS	Bitacora
ADMINISTRADOR	Bitacora
ADMINISTRADOR	Calendarizacion
OPERACIONES BANCARIAS	Calendarizacion
PRUEBAS SKY	Calendarizacion
ACLARACIONES BANCARIAS	Cargo por Cuenta
ADMINISTRADOR	Cargo por Cuenta
OPERACIONES BANCARIAS	Cargo por Cuenta
PRUEBAS SKY	Cargo por Cuenta
SOPORTE BACKFLOW	Cargo por Cuenta
ACLARACIONES BANCARIAS	Cargos por Archivo
ADMINISTRADOR	Cargos por Archivo
OPERACIONES BANCARIAS	Cargos por Archivo
PRUEBAS SKY	Cargos por Archivo
ACLARACIONES BANCARIAS	Cheques Devueltos
ADMINISTRADOR	Cheques Devueltos
OPERACIONES BANCARIAS	Cheques Devueltos
PRUEBAS SKY	Cheques Devueltos
ADMINISTRADOR	Clearing House
OPERACIONES BANCARIAS	Clearing House
PRUEBAS SKY	Clearing House
ADMINISTRADOR	Codigos de Respuesta
OPERACIONES BANCARIAS	Codigos de Respuesta
PRUEBAS SKY	Codigos de Respuesta
ACLARACIONES BANCARIAS	Control de Procesos
ADMINISTRADOR	Control de Procesos
OPERACIONES BANCARIAS	Control de Procesos
OPERACIONES BANCARIAS 2	Control de Procesos
PRUEBAS SKY	Control de Procesos
PRUEBAS_SOA	Control de Procesos
ACLARACIONES BANCARIAS	Dispersión de Pagos
ADMINISTRADOR	Dispersión de Pagos
OPERACIONES BANCARIAS	Dispersión de Pagos
PRUEBAS SKY	Dispersión de Pagos
ADMINISTRADOR	Ente
OPERACIONES BANCARIAS	Ente
PRUEBAS SKY	Ente
ADMINISTRADOR	Hard Declined
OPERACIONES BANCARIAS	Hard Declined
OPERACIONES BANCARIAS 2	Hard Declined
PRUEBAS SKY	Hard Declined
PRUEBAS_SOA	Hard Declined
ADMINISTRADOR	Monto Máximo
OPERACIONES BANCARIAS	Monto Máximo
PRUEBAS SKY	Monto Máximo
